date,cash,holdings_value,nav,num_positions,daily_return
2023-01-02,100000000.0,0.0,100000000.0,0,0.0
2023-01-03,100000000.0,0.0,100000000.0,0,0.0
2023-01-04,100000000.0,0.0,100000000.0,0,0.0
2023-01-05,100000000.0,0.0,100000000.0,0,0.0
2023-01-06,100000000.0,0.0,100000000.0,0,0.0
2023-01-09,100000000.0,0.0,100000000.0,0,0.0
2023-01-10,100000000.0,0.0,100000000.0,0,0.0
2023-01-11,100000000.0,0.0,100000000.0,0,0.0
2023-01-12,100000000.0,0.0,100000000.0,0,0.0
2023-01-13,100000000.0,0.0,100000000.0,0,0.0
2023-01-16,100000000.0,0.0,100000000.0,0,0.0
2023-01-17,100000000.0,0.0,100000000.0,0,0.0
2023-01-18,100000000.0,0.0,100000000.0,0,0.0
2023-01-19,100000000.0,0.0,100000000.0,0,0.0
2023-01-20,100000000.0,0.0,100000000.0,0,0.0
2023-01-25,100000000.0,0.0,100000000.0,0,0.0
2023-01-26,100000000.0,0.0,100000000.0,0,0.0
2023-01-27,100000000.0,0.0,100000000.0,0,0.0
2023-01-30,100000000.0,0.0,100000000.0,0,0.0
2023-01-31,100000000.0,0.0,100000000.0,0,0.0
2023-02-01,100000000.0,0.0,100000000.0,0,0.0
2023-02-02,100000000.0,0.0,100000000.0,0,0.0
2023-02-03,69974042.81295,30323530.0,100297572.81295,3,0.002975728129499977
2023-02-06,9751988.0021,91885709.0,101637697.0021,9,0.013361481754391669
2023-02-07,9751988.0021,91889491.0,101641479.0021,9,3.7210603069048886e-05
2023-02-08,9751988.0021,92580379.0,102332367.0021,9,0.006797303687264611
2023-02-09,9751988.0021,93315961.0,103067949.0021,9,0.007188165597546536
2023-02-10,9751988.0021,91274113.0,101026101.0021,9,-0.01981069789172185
2023-02-13,9751988.0021,90002049.0,99754037.0021,9,-0.012591439117041192
2023-02-14,9751988.0021,90535835.0,100287823.0021,9,0.0053510215329808375
2023-02-15,9751988.0021,89589623.0,99341611.0021,9,-0.009434964003358526
2023-02-16,9751988.0021,90141148.0,99893136.0021,9,0.005551802456559063
2023-02-17,9751988.0021,89240043.0,98992031.0021,9,-0.009020689869833065
2023-02-20,9751988.0021,89877725.0,99629713.0021,9,0.0064417508515051125
2023-02-21,9751988.0021,89929782.0,99681770.0021,9,0.0005225047672163807
2023-02-22,9751988.0021,88251739.0,98003727.0021,9,-0.016834000840521224
2023-02-23,9751988.0021,88038153.0,97790141.0021,9,-0.002179366096918156
2023-02-24,9751988.0021,87731931.0,97483919.0021,9,-0.0031314199658779573
2023-02-27,9751988.0021,87277355.0,97029343.0021,9,-0.004663087047107828
2023-02-28,671.8698500003666,97408440.0,97409111.86985,10,0.003913958973645437
2023-03-02,671.8698500003666,98405230.0,98405901.86985,10,0.010233026262797873
2023-03-03,671.8698500003666,100433517.0,100434188.86985,10,0.02061143652422981
2023-03-06,671.8698500003666,101075471.0,101076142.86985,10,0.006391787569787422
2023-03-07,671.8698500003666,101195589.0,101196260.86985,10,0.0011883912126986473
2023-03-08,9908378.6089,89498476.0,99406854.6089,9,-0.01768253338185466
2023-03-09,6625455.13910001,92595335.0,99220790.13910002,9,-0.0018717468783417957
2023-03-10,6625455.13910001,90922326.0,97547781.13910002,9,-0.01686147628591317
2023-03-13,6625455.13910001,89520083.0,96145538.13910002,9,-0.014374934863976563
2023-03-14,6625455.13910001,84624477.0,91249932.13910002,9,-0.05091870194659687
2023-03-15,6625455.13910001,87281051.0,93906506.13910002,9,0.029113161376935093
2023-03-16,6625455.13910001,86488957.0,93114412.13910002,9,-0.008434921418828067
2023-03-17,6625455.13910001,88662923.0,95288378.13910002,9,0.02334725581204755
2023-03-20,6625455.13910001,88457022.0,95082477.13910002,9,-0.002160819651053636
2023-03-21,6625455.13910001,87795643.0,94421098.13910002,9,-0.006955845281906625
2023-03-22,6625455.13910001,87053249.0,93678704.13910002,9,-0.007862585954108603
2023-03-23,6625455.13910001,85451731.0,92077186.13910002,9,-0.017095859883180742
2023-03-24,6625455.13910001,86956271.0,93581726.13910002,9,0.016339986733816092
2023-03-27,6625455.13910001,86749603.0,93375058.13910002,9,-0.002208422611192362
2023-03-28,6625455.13910001,87951150.0,94576605.13910002,9,0.012867965214115928
2023-03-29,6625455.13910001,88839571.0,95465026.13910002,9,0.00939366557610466
2023-03-30,6625455.13910001,89502777.0,96128232.13910002,9,0.006947109604659385
2023-03-31,8347183.354500009,87066766.0,95413949.35450001,9,-0.0074305203445999
2023-04-03,8347183.354500009,87066700.0,95413883.35450001,9,-6.917227559632977e-07
2023-04-04,8347183.354500009,87953480.0,96300663.35450001,9,0.009294035299928671
2023-04-05,8347183.354500009,88277479.0,96624662.35450001,9,0.0033644524213432003
2023-04-06,8347183.354500009,86415691.0,94762874.35450001,9,-0.01926824844333641
2023-04-07,8952349.426750008,86106245.0,95058594.42675,9,0.003120632149081093
2023-04-10,393122.2836500015,92174878.0,92568000.28365,10,-0.02620062034495163
2023-04-11,393122.2836500015,93426241.0,93819363.28365,10,0.013518310821942103
2023-04-12,393122.2836500015,94894365.0,95287487.28365,10,0.015648411464500356
2023-04-13,393122.2836500015,96549757.0,96942879.28365,10,0.017372606280111613
2023-04-14,393122.2836500015,98309976.0,98703098.28365,10,0.018157279967409234
2023-04-17,393122.2836500015,98555602.0,98948724.28365,10,0.002488533838057805
2023-04-18,393122.2836500015,98401594.0,98794716.28365,10,-0.0015564425020631045
2023-04-19,393122.2836500015,99322704.0,99715826.28365,10,0.009323474317749936
2023-04-20,393122.2836500015,98725426.0,99118548.28365,10,-0.005989801441357856
2023-04-21,393122.2836500015,97264941.0,97658063.28365,10,-0.014734729526309165
2023-04-24,393122.2836500015,96163279.0,96556401.28365,10,-0.011280809417653526
2023-04-25,393122.2836500015,95416991.0,95810113.28365,10,-0.0077290370195929325
2023-04-26,393122.2836500015,95303839.0,95696961.28365,10,-0.001181002674164544
2023-04-27,393122.2836500015,95854248.0,96247370.28365,10,0.00575158283624666
2023-04-28,393122.2836500015,95945893.0,96339015.28365,10,0.0009521818594098175
2023-05-02,393122.2836500015,96331349.0,96724471.28365,10,0.004001037366482274
2023-05-03,8355057.934400002,87754187.0,96109244.9344,9,-0.0063606070013637606
2023-05-04,8355057.934400002,87013918.0,95368975.9344,9,-0.0077023703651535325
2023-05-08,8355057.934400002,86381195.0,94736252.9344,9,-0.0066344740918180545
2023-05-09,8355057.934400002,85846489.0,94201546.9344,9,-0.005644153990028045
2023-05-10,8355057.934400002,87297929.0,95652986.9344,9,0.015407814916359674
2023-05-11,27367783.598650005,67486331.0,94854114.59865001,7,-0.008351776158311397
2023-05-12,94641532.65599999,0.0,94641532.65599999,0,-0.002241146243887271
2023-05-15,94641532.65599999,0.0,94641532.65599999,0,0.0
2023-05-16,94641532.65599999,0.0,94641532.65599999,0,0.0
2023-05-17,94641532.65599999,0.0,94641532.65599999,0,0.0
2023-05-18,94641532.65599999,0.0,94641532.65599999,0,0.0
2023-05-19,94641532.65599999,0.0,94641532.65599999,0,0.0
2023-05-22,94641532.65599999,0.0,94641532.65599999,0,0.0
2023-05-23,66221785.48869999,27978830.0,94200615.48869999,3,-0.004658812626192721
2023-05-24,25219.88264998421,94199399.0,94224618.88264999,10,0.0002548114343572383
2023-05-25,25219.88264998421,92736870.0,92762089.88264999,10,-0.015521729006104823
2023-05-26,25219.88264998421,91657014.0,91682233.88264999,10,-0.011641134879195714
2023-05-30,25219.88264998421,94070919.0,94096138.88264999,10,0.026329037783805687
2023-05-31,25219.88264998421,93992048.0,94017267.88264999,10,-0.0008381959231967828
