entry_date,exit_date,ticker,buy_price,sell_price,shares,return_pct,hold_days,exit_reason
2023-02-03,,090410,1953,,5120,,0,
2023-02-03,,123700,4465,,2239,,0,
2023-02-03,,083550,5612,,1781,,0,
2023-02-06,,377220,4311,,2326,,0,
2023-02-06,,306040,17424,,575,,0,
2023-02-06,,005320,3103,,3231,,0,
2023-02-06,,079970,869,,11539,,0,
2023-02-06,,054940,1512,,6632,,0,
2023-02-06,,140070,3955,,2535,,0,
2023-02-28,,234100,10395,,937,,0,
2023-02-03,2023-03-08,090410,1953,1890.0,5120,-0.032258064516129004,22,expiry
2023-02-03,2023-03-08,123700,4465,4600.0,2239,0.03023516237402024,22,expiry
2023-02-03,2023-03-08,083550,5612,5746.0,1781,0.02387740555951523,22,expiry
2023-03-08,,298540,26235,,385,,0,
2023-03-08,,061040,26396,,382,,0,
2023-02-06,2023-03-09,377220,4311,3900.0,2326,-0.09533750869867785,22,expiry
2023-02-06,2023-03-09,306040,17424,16130.0,575,-0.07426538108356295,22,expiry
2023-02-06,2023-03-09,005320,3103,3210.0,3231,0.034482758620689724,22,expiry
2023-02-06,2023-03-09,079970,869,780.0,11539,-0.10241657077100119,22,expiry
2023-02-06,2023-03-09,054940,1512,1390.0,6632,-0.0806878306878307,22,expiry
2023-02-06,2023-03-09,140070,3955,4195.0,2535,0.060682680151706636,22,expiry
2023-03-09,,090410,1871,,5399,,0,
2023-03-09,,155660,5861,,1723,,0,
2023-03-09,,083550,5689,,1775,,0,
2023-03-09,,025530,3416,,2957,,0,
2023-03-09,,093380,4113,,2456,,0,
2023-03-09,,129260,2648,,3815,,0,
2023-02-28,2023-03-31,234100,10395,12075.0,937,0.16161616161616155,22,expiry
2023-03-31,,054940,1237,,7717,,0,
2023-03-08,2023-04-07,298540,26235,27100.0,385,0.03297122165046695,22,expiry
2023-03-08,2023-04-07,061040,26396,25062.0,382,-0.05053796029701474,22,expiry
2023-04-07,,011080,10417,,927,,0,
2023-04-07,,017180,2673,,3614,,0,
2023-03-09,2023-04-10,090410,1871,1830.0,5399,-0.021913415285943372,22,expiry
2023-03-09,2023-04-10,155660,5861,5250.0,1723,-0.10424842177102889,22,expiry
2023-03-09,2023-04-10,083550,5689,5104.0,1775,-0.1028300228511162,22,expiry
2023-03-09,2023-04-10,025530,3416,3250.0,2957,-0.04859484777517564,22,expiry
